S.No,Symbol
740,GINNIFILA.NS
741,GIPCL.NS
742,GKENERGY.NS
743,GKSL.NS
744,GKWLIMITED.NS
745,GLAND.NS
746,GLAXO.NS
747,GLENMARK.NS
748,GLFL.NS
749,GLOBAL.NS
750,GLOBALE.NS
751,GLOBALVECT.NS
752,GLOBE.NS
753,GLOBECIVIL.NS
754,GLOBUSSPR.NS
755,GLOSTERLTD.NS
756,GLOTTIS.NS
757,GMBREW.NS
758,GMDCLTD.NS
759,GMMPFAUDLR.NS
760,GMRAIRPORT.NS
761,GMRP&UI.NS
762,GNA.NS
763,GNFC.NS
764,GNRL.NS
765,GOACARBON.NS
766,GOCLCORP.NS
767,GOCOLORS.NS
768,GODAVARIB.NS
769,GODFRYPHLP.NS
770,GODIGIT.NS
771,GODREJAGRO.NS
772,GODREJCP.NS
773,GODREJIND.NS
774,GODREJPROP.NS
775,GOKEX.NS
776,GOKUL.NS
777,GOKULAGRO.NS
778,GOLDENTOBC.NS
779,GOLDIAM.NS
780,GOLDTECH.NS
781,GOODLUCK.NS
782,GOODYEAR.NS
783,GOPAL.NS
784,GOYALALUM.NS
785,GPIL.NS
786,GPPL.NS
787,GPTHEALTH.NS
788,GPTINFRA.NS
789,GRADIENTE.NS
790,GRANDOAK.NS
791,GRANULES.NS
792,GRAPHITE.NS
793,GRASIM.NS
794,GRAUWEIL.NS
795,GRAVISSHO.NS
796,GRAVITA.NS
797,GREAVESCOT.NS
798,GREENLAM.NS
799,GREENPANEL.NS
800,GREENPLY.NS
801,GREENPOWER.NS
802,GRINDWELL.NS
803,GRINFRA.NS
804,GRMOVER.NS
805,GROBTEA.NS
806,GROWW.NS
807,GRPLTD.NS
808,GRSE.NS
809,GRWRHITECH.NS
810,GSFC.NS
811,GSLSU.NS
812,GSPCROP.NS
813,GSS.NS
814,GTECJAINX.NS
815,GTL.NS
816,GTLINFRA.NS
817,GTPL.NS
818,GUFICBIO.NS
819,GUJALKALI.NS
820,GUJAPOLLO.NS
822,GUJRAFFIA.NS
823,GUJTHEM.NS
824,GULFOILLUB.NS
825,GULFPETRO.NS
826,GULPOLY.NS
827,GVKPIL.NS
828,GVPIL.NS
829,GVPTECH.NS
830,GVT&D.NS
831,HAL.NS
832,HALDER.NS
833,HALDYNGL.NS
834,HALEOSLABS.NS
835,HAPPSTMNDS.NS
836,HAPPYFORGE.NS
837,HARDWYN.NS
838,HARIOMPIPE.NS
839,HARRMALAYA.NS
840,HARSHA.NS
841,HATHWAY.NS
842,HATSUN.NS
843,HAVELLS.NS
844,HAVISHA.NS
845,HAWKINCOOK.NS
846,HBESD.NS
847,HBLENGINE.NS
848,HBSL.NS
849,HCC.NS
850,HCG.NS
851,HCL-INSYS.NS
852,HCLTECH.NS
853,HDBFS.NS
854,HDFCAMC.NS
855,HDFCBANK.NS
856,HDFCLIFE.NS
857,HDIL.NS
858,HEADSUP.NS
859,HEALTHX.NS
860,HECPROJECT.NS
861,HEG.NS
862,HEIDELBERG.NS
863,HEMIPROP.NS
864,HERANBA.NS
865,HERITGFOOD.NS
866,HEROMOTOCO.NS
867,HESTERBIO.NS
868,HEXAGON.NS
869,HEXATRADEX.NS
870,HEXT.NS
871,HFCL.NS
872,HGINFRA.NS
873,HGM.NS
874,HGS.NS
875,HIKAL.NS
876,HILINFRA.NS
877,HILTON.NS
878,HIMATSEIDE.NS
879,HINDALCO.NS
